drug_a_name,drug_b_name,severity,mechanism,clinical_effect,management
Warfarin,Aspirin,Severe,Both drugs increase bleeding risk via different pathways,Major haemorrhage; GI bleeding,Avoid combination; if essential monitor INR closely
Warfarin,Ibuprofen,Severe,NSAID displaces warfarin from plasma proteins; inhibits platelets,Increased anticoagulant effect; bleeding,Avoid; prefer paracetamol for analgesia
Warfarin,Clarithromycin,Severe,Clarithromycin is a CYP3A4 inhibitor and raises warfarin levels,Elevated INR; bleeding risk,Avoid combination or reduce warfarin dose under monitoring
Warfarin,Omeprazole,Moderate,Omeprazole inhibits warfarin metabolism via CYP2C19,Mildly elevated INR,Monitor INR when starting/stopping omeprazole
Warfarin,Paracetamol,Minor,High dose paracetamol may modestly elevate INR,Slight INR elevation at >2g/day chronic use,Monitor INR with prolonged paracetamol use
Warfarin,Amoxicillin,Minor,Antibiotic alters gut flora producing vitamin K,Possible mild INR rise,Monitor INR if course exceeds 7 days
Aspirin,Ibuprofen,Moderate,Both NSAIDs/antiplatelet - additive GI irritation,Increased risk of gastric ulcer/bleeding,Use lowest effective dose; add PPI if both required
Simvastatin,Clarithromycin,Contraindicated,Clarithromycin strongly inhibits CYP3A4 metabolism of simvastatin,Severe rhabdomyolysis risk,ABSOLUTE contraindication - never co-prescribe
Diazepam,Fluoxetine,Severe,Additive CNS depression; serotonergic effects,Profound sedation respiratory depression,Avoid; if both required monitor in supervised setting
Fluoxetine,Diazepam,Severe,SSRI + benzodiazepine - additive CNS depression,Excessive sedation; impaired psychomotor function,Avoid combination where possible
Lisinopril,Metformin,Moderate,Both lower blood pressure / glucose - additive hypotension,Symptomatic hypotension; dizziness,Monitor BP regularly during titration
Ibuprofen,Lisinopril,Moderate,NSAID reduces antihypertensive effect of ACE inhibitors,Reduced BP control; possible kidney injury,Monitor BP and renal function; consider paracetamol
